,age,income,city,education,target
57,35.0,73136.03845176798,LA,Bachelors,103.51103865323162
58,,55493.97634791894,NY,Masters,173.1905235956854
59,36.0,106566.54382089595,,Bachelors,118.54845763770109
60,29.0,,LA,,128.46240359276732
61,35.0,67391.70037616248,,,164.3379987602695
62,44.0,67458.26143774949,LA,Bachelors,159.0326974113106
63,,72243.96217110331,SF,Masters,175.13240033840458
64,37.0,86044.12393236971,,,125.82459563446173
65,39.0,72844.42184958179,LA,,133.36524028394965
66,45.0,,LA,Masters,163.67066806436765
67,,72270.96531839811,,,132.22570260744894
68,,68314.69162794428,SF,Bachelors,184.62132154065884
69,50.0,79618.75589992583,LA,Bachelors,136.87536041637767
70,36.0,79049.29050510694,LA,Bachelors,132.64959558398976
71,22.0,67455.48821357268,NY,Bachelors,96.26208931185991
72,46.0,58761.89563428611,LA,Bachelors,134.4555039038236
73,28.0,75125.93372110651,NY,Masters,131.31878164956333
74,30.0,,LA,Bachelors,104.6656231523605
75,45.0,61676.92430843864,,Masters,161.14169701092933
76,22.0,57363.992761948044,NY,Bachelors,81.4797830726677
77,29.0,76157.13765841685,NY,,98.89121421609738
78,45.0,78251.42585541542,NY,Bachelors,147.52094403972464
79,32.0,64599.518280177086,NY,PhD,151.71409955411826
80,38.0,61300.94446130611,,Masters,148.34661245006424
81,,,LA,Masters,118.18664836304731
82,56.0,75733.82408717378,LA,,160.34799094284176
83,56.0,57940.34389538895,,Masters,188.91982095757456
84,54.0,103617.01853531096,NY,Bachelors,189.458473954129
85,26.0,63845.778460435045,SF,Bachelors,118.44757430037816
86,49.0,33621.78583191099,NY,Masters,175.9065235234721
87,28.0,69547.42500056297,NY,,105.43292662181157
88,30.0,68904.49780271796,LA,PhD,155.2171660978609
89,29.0,86675.77851286283,NY,Bachelors,112.03187396525718
90,33.0,74321.89355091556,LA,PhD,173.37511350983388
91,55.0,57492.47224840296,NY,Masters,180.96934044081485
92,54.0,65704.12189754835,LA,Masters,183.52723770252285
93,44.0,74911.29657476481,LA,Bachelors,155.12368796267816
94,45.0,37529.28624534384,,Bachelors,145.09980813063768
95,58.0,90079.32601585676,LA,PhD,209.24192954087937
96,56.0,,NY,Bachelors,186.56276314678155
97,43.0,91255.65731421426,LA,Masters,158.0291287565464
98,48.0,75886.97711689882,NY,PhD,201.63246972688572
99,56.0,79443.91204590962,LA,Bachelors,182.78034122791902
100,22.0,87241.35154001908,LA,Masters,98.02211292007586
101,56.0,,NY,Masters,210.5141382129629
102,58.0,80093.29324476176,SF,Bachelors,179.00358223579696
103,35.0,67533.75339307929,SF,Bachelors,148.97572559157987
104,24.0,,LA,Bachelors,102.49535808464636
105,22.0,61187.53277542385,LA,Bachelors,77.70279755047655
106,26.0,64848.83350618049,NY,Masters,106.08759158047808
107,47.0,99470.42571953362,LA,Bachelors,147.15714298318392
108,35.0,57877.09622424367,NY,PhD,166.85311515726238
109,48.0,72314.75689954421,NY,Bachelors,157.54160015907755
110,30.0,71702.03555073214,SF,Masters,145.8875033016012
111,36.0,65338.68292328801,,Masters,154.9909849496292
112,36.0,77716.01404855656,LA,Bachelors,107.46152116826919
113,,78845.83139112074,NY,Bachelors,139.112782223787
114,34.0,56112.71225278631,LA,Masters,129.55153195494924
115,53.0,71520.35067319826,NY,,201.55912826385244
116,53.0,53764.48991841465,NY,Bachelors,167.84743041268
117,25.0,81828.22927475952,NY,Bachelors,116.44226066589927
118,51.0,72647.30965543939,LA,Bachelors,157.19972913794285
119,58.0,71234.94830075631,,Bachelors,175.55944372408328
120,44.0,79885.47023308605,NY,Masters,161.8274433668957
121,36.0,65867.34564297399,LA,Masters,135.24668213946111
122,50.0,83710.32938827306,NY,Bachelors,169.03342780028453
123,57.0,55773.32690865796,,PhD,235.57681506816212
124,34.0,91178.14778341791,SF,Bachelors,139.44370074745774
125,53.0,61736.33226167719,LA,Masters,189.59640497736225
126,28.0,44557.313984566186,SF,Bachelors,121.64628841082917
127,43.0,65071.97637305902,SF,Bachelors,137.82498575178943
128,49.0,63370.47704118687,LA,Bachelors,147.36410074449526
129,23.0,64958.89020774946,LA,,90.88746278839878
130,,73474.72023225974,SF,Masters,140.67313424712424
131,49.0,86467.63541332408,NY,Masters,181.0609913323182
132,49.0,67124.41129154294,NY,Bachelors,172.38849044938112
133,41.0,59625.73645271649,SF,Masters,153.2851814763167
134,51.0,53101.79781574305,LA,Bachelors,158.11199666880157
135,,62977.25813036434,NY,Masters,148.79872067206918
136,49.0,41682.62741124471,LA,Bachelors,142.4517051236904
137,46.0,59123.00359725458,LA,,156.57083446672317
138,54.0,88660.80843793279,,Bachelors,177.23550693036773
139,22.0,57649.611931323656,LA,Masters,87.93573795203352
140,48.0,79430.73791200458,LA,Masters,169.55601512757804
141,34.0,51602.76865287265,LA,Bachelors,116.65225066279915
142,24.0,96566.4384896583,LA,Bachelors,90.09903060896181
143,27.0,,LA,Bachelors,84.13367181760167
144,29.0,78865.32334839815,,Masters,116.02401557258926
145,48.0,99868.78902465283,LA,Masters,165.43179288757244
146,30.0,75336.89462391494,,Bachelors,99.03046292715776
147,58.0,81527.75671224334,LA,Bachelors,163.20959389813999
148,54.0,88929.00815097302,,Masters,192.28720639153883
149,45.0,72695.77679647674,,,142.92501541937435
150,36.0,,NY,Bachelors,133.13127723360998
151,53.0,81834.45032851596,LA,Bachelors,172.88848328178975
152,53.0,62922.106083498045,SF,,179.911452775311
153,45.0,,NY,Masters,175.72437778251606
154,33.0,74468.42374718035,NY,Masters,148.00362155473348
155,23.0,,NY,Bachelors,97.78683909738385
156,24.0,72252.01951009328,LA,Masters,109.97051821236552
157,58.0,,NY,Bachelors,183.94798613998609
158,,59397.142989097054,NY,Masters,139.14758817761202
159,23.0,69359.44307915075,LA,Masters,95.806783207718
160,23.0,82736.28175676306,SF,Masters,127.07093287684947
161,49.0,96591.86764655073,LA,Bachelors,153.15037930967836
162,44.0,101896.53383459813,NY,Bachelors,159.4475914844823
163,58.0,76494.65024091597,LA,Bachelors,157.18991527181058
164,53.0,82600.1474011841,SF,Masters,182.3382902390667
165,54.0,99723.68747222787,,Bachelors,151.7066989653246
166,22.0,59937.45944899758,SF,PhD,142.06403018899863
167,40.0,79445.49779068875,SF,PhD,172.39678892823713
168,23.0,81525.1442422922,NY,Masters,116.96229741946102
169,47.0,91717.92154115117,LA,PhD,191.69881607228749
170,53.0,52942.87929195666,,Bachelors,187.7802129058721
171,27.0,55908.91324299225,LA,Bachelors,111.79543204612244
172,53.0,70320.73316657059,NY,Bachelors,166.35863278332454
173,25.0,,NY,Masters,101.83025666721082
174,32.0,86842.95930600712,SF,Bachelors,125.15429838913943
175,38.0,77763.15663718406,NY,PhD,180.87888373484907
176,59.0,67728.80154834574,SF,Bachelors,194.31225137353658
177,45.0,76246.9216713421,NY,Bachelors,153.30667096646638
178,26.0,74515.66714411677,NY,Masters,115.40901924175287
179,55.0,96175.24644981683,SF,,205.1590375071895
180,27.0,,,Bachelors,88.25478771794903
181,43.0,64253.748796711545,LA,Masters,153.7378053491816
182,32.0,76744.13545107744,NY,Bachelors,132.15215102904222
183,37.0,72977.27979007798,,,141.83458595555678
184,54.0,46435.09966487992,LA,Bachelors,157.90938297120877
185,30.0,69765.21907566747,LA,Bachelors,115.39866742441045
186,,68488.92631890991,LA,PhD,126.91690711752545
187,37.0,,SF,Masters,171.7452755663196
188,50.0,85533.74931434459,LA,Bachelors,173.71602048986654
189,24.0,58214.80605082006,SF,Bachelors,101.43264325665564
190,41.0,76834.27929286807,LA,Bachelors,140.10800626056502
191,57.0,67782.14500234404,,PhD,219.34415107781166
192,40.0,71615.42508470174,NY,Bachelors,137.92194312715714
193,47.0,76176.79436568801,,Bachelors,164.0242161765591
194,24.0,50386.38424163498,SF,Masters,131.01562797609893
195,40.0,72874.91337602174,NY,PhD,196.01149789293862
196,,104334.21234569809,,Bachelors,124.96335130182881
197,53.0,46648.54981181913,NY,Bachelors,171.80680697192415
198,28.0,69135.88054426742,NY,Bachelors,98.26290120256726
199,,86848.5898723573,SF,Bachelors,186.6119243722286
200,39.0,,SF,Masters,155.65239152295126
201,22.0,80319.5042817405,LA,Masters,98.66360797760372
202,32.0,34365.00983361076,NY,Masters,125.6331270064892
203,49.0,78973.74061944925,LA,Bachelors,155.21262415613472
204,46.0,58574.676906496024,LA,Bachelors,156.0819287780948
205,,74648.1592687472,SF,Bachelors,157.2585784964277
206,52.0,69558.47903635763,LA,Bachelors,175.08856121873976
207,51.0,104174.9954374245,NY,Masters,195.10656789758818
208,56.0,78200.42985648813,LA,Bachelors,191.46870738382785
209,28.0,68310.64256105821,SF,Bachelors,124.84599582301661
210,37.0,47354.60861119669,LA,Bachelors,121.77774392813508
211,47.0,71817.20352774845,LA,Bachelors,132.5203161756744
212,23.0,82348.43317520234,NY,Bachelors,90.97706611107762
213,22.0,68791.72162271166,LA,Masters,98.67263896991606
214,33.0,,LA,Bachelors,112.10153587242215
215,26.0,61411.20004230522,NY,Masters,143.94367202415722
216,58.0,78027.1215318298,,Bachelors,174.05131704570883
217,53.0,81390.81908963736,NY,Bachelors,156.0720998708794
218,,90418.15172981677,NY,PhD,158.2624296369715
219,56.0,55075.00160184463,NY,Bachelors,186.26798246676702
220,40.0,77889.66337626425,NY,Masters,151.52628949065178
221,37.0,68174.440683732,LA,Bachelors,144.50368220487547
222,24.0,68616.48693050079,NY,Masters,96.77844892979077
223,,76027.38781051003,NY,Masters,171.03566650829902
224,45.0,76114.8438043742,SF,PhD,195.63362671139467
225,,,LA,Masters,171.61308308068203
226,45.0,54137.932117062854,LA,Masters,181.6695000640567
227,32.0,58752.82889250312,LA,Bachelors,117.71708045861294
228,29.0,92288.02413276526,LA,Masters,116.20713413333017
229,57.0,66691.4129877874,NY,,194.98001963084897
230,59.0,74590.21597026844,SF,Bachelors,201.2377969925129
231,41.0,85819.99468064778,NY,Bachelors,139.31316462804227
232,56.0,76951.64608541229,LA,Masters,199.07415108950454
233,46.0,78197.8394645806,NY,Bachelors,157.004767509209
234,56.0,83418.66518865635,LA,Bachelors,181.51239112451688
235,,38250.043586545,LA,PhD,181.60926519342848
236,50.0,62650.74767259198,LA,Bachelors,164.20437989864706
237,39.0,77029.08694749388,NY,Bachelors,152.0362609953645
238,,90814.66460586486,LA,Masters,160.94188490689157
239,23.0,70991.4333948366,SF,Bachelors,113.24912421199618
240,56.0,57329.25307365857,SF,Masters,196.62769926653564
241,37.0,57728.70925584246,,Bachelors,131.08332569494925
242,57.0,83257.9180517961,NY,,183.56893802929224
243,54.0,66733.3962641217,SF,Bachelors,179.9372474697788
244,25.0,69891.99931314494,LA,,120.8941377424903
245,54.0,79225.45290658479,LA,Bachelors,167.91402380836752
246,35.0,26477.14475959631,,Bachelors,126.72600940930653
247,42.0,100005.51267262122,SF,Bachelors,145.2262156001789
248,41.0,,LA,Bachelors,115.91699738438581
249,29.0,73629.04554210357,LA,Bachelors,108.24852877003829
250,28.0,,NY,Bachelors,113.18966157338201
251,24.0,63661.88334392443,LA,Masters,102.29972030135863
252,38.0,88670.32069547645,NY,Bachelors,146.48912558550558
253,54.0,41257.49230501182,NY,Masters,179.66220611897995
254,33.0,86893.00130783711,NY,Masters,142.7844611255324
255,43.0,65894.55855651424,NY,Bachelors,148.67741594661535
256,43.0,77307.46660330288,LA,Bachelors,131.18549527740439
257,51.0,79862.86620227665,LA,Masters,168.76909035012602
258,59.0,,LA,Masters,187.86989309915012
259,59.0,57025.7402255376,,Bachelors,190.30856929963596
260,29.0,64531.76280197465,SF,PhD,164.01555924863453
261,48.0,48076.65734123776,NY,,155.6591279785036
262,48.0,77376.9449738212,LA,Bachelors,143.97403255777644
263,,95530.82731023888,,,190.6934543776771
264,42.0,42633.38669985306,LA,PhD,153.1878237929096
265,51.0,58575.31140792947,LA,Masters,173.1865871207399
266,54.0,67273.370861756,SF,Masters,216.3086896796871
267,49.0,,NY,,156.36437215209833
268,54.0,83187.6445215164,LA,Bachelors,164.5589541801112
269,26.0,67717.000294635,LA,Bachelors,105.95429750480986
270,40.0,65260.61910331524,NY,Masters,163.1571581748841
271,25.0,86546.96059104611,SF,Bachelors,114.58026924089036
272,,,SF,Bachelors,190.61191207960354
273,38.0,78084.66963551647,LA,,113.76781103173903
274,49.0,71687.73567382172,NY,PhD,203.27903763593085
275,51.0,84747.28316379788,NY,,155.4561412024379
276,50.0,,LA,Bachelors,134.75436564404993
277,27.0,58109.58576720883,NY,Bachelors,117.9054141251877
278,56.0,81191.51480303986,LA,PhD,210.11752357605272
279,58.0,45624.460461296374,LA,,218.62233536903048
280,45.0,71382.69264454731,LA,Masters,150.99021116643533
281,50.0,65251.62471606232,LA,,160.27370465039849
282,52.0,48913.679040205665,,Bachelors,155.56586817527943
283,56.0,56030.98630425603,NY,PhD,211.96881292255276
284,54.0,68365.35861556976,NY,Bachelors,185.47215558651848
285,,85509.44884748534,LA,,134.92246502188547
286,53.0,60205.630131132835,LA,Bachelors,155.94436728431717
287,44.0,88200.72099857489,LA,PhD,162.87284461882746
288,54.0,70947.68841334774,LA,Bachelors,169.44480129513857
289,24.0,89655.77053254956,,,137.18099249557042
290,39.0,60932.62586829928,NY,Masters,145.10602113423178
291,46.0,69267.85617841948,NY,,162.66050359422917
292,52.0,75527.25405005494,NY,Bachelors,161.59330367466742
293,,67307.34305887732,LA,PhD,133.18531675531494
294,,84295.36220717854,LA,PhD,179.20095913490172
295,53.0,36886.54412064601,SF,Masters,199.65382349045765
296,43.0,,LA,Masters,147.7793398401512
297,44.0,82866.61910492743,SF,Bachelors,164.89017339906562
298,23.0,,,PhD,137.21900848923258
299,,61715.174896339835,NY,Bachelors,156.33187207450416
300,23.0,57003.69082827168,LA,Masters,87.60387116765243
301,47.0,79684.23211254606,LA,PhD,175.96584767598384
302,38.0,84924.7250318853,NY,Masters,146.14203597203007
303,54.0,,LA,Masters,183.83057944950946
304,30.0,86604.85619467754,LA,,127.42075200356585
305,50.0,56391.09929858316,NY,,159.1763262077224
306,47.0,53742.83725019746,LA,Masters,161.00526810771856
307,56.0,97200.11807868324,LA,Bachelors,188.75185736775833
308,46.0,78866.62920307815,NY,,172.46575079897147
309,45.0,90952.72302719991,LA,Bachelors,138.76918447704898
310,,57190.90437418461,,Bachelors,108.49114857307447
311,28.0,56147.11912346905,LA,Masters,106.7066596312465
312,,64620.860208136866,,PhD,209.15613822755387
313,41.0,57639.11737691482,SF,Bachelors,172.5843018990804
314,22.0,80580.47815342677,LA,Masters,92.73864390320716
315,29.0,58733.10914610332,NY,,128.35975364922658
316,37.0,52424.95212899064,LA,PhD,161.30457367394837
317,35.0,72130.23118382848,LA,Bachelors,129.4504584975423
318,33.0,50650.207362621804,LA,Masters,127.60625071309755
319,44.0,,LA,PhD,169.61717656510777
320,36.0,71998.85850791917,LA,Bachelors,115.11458882451794
321,49.0,43761.699354846845,NY,PhD,200.8142679009921
322,55.0,81629.19094443134,NY,PhD,206.92177306237903
323,,49069.99410620806,LA,PhD,111.42098833686067
324,53.0,36389.89320370378,,,156.85055250984416
325,44.0,,NY,Bachelors,137.37887859788896
326,43.0,72168.91754944727,SF,PhD,211.89292254718387
327,46.0,77372.1259552291,NY,Bachelors,162.06041213892294
328,43.0,72580.2354852378,LA,Masters,169.61164785355518
329,43.0,54110.31068323387,NY,,152.51877279473425
330,27.0,80695.91771389906,NY,Bachelors,123.97376700898161
331,36.0,84402.07759719618,SF,Bachelors,145.050729744447
332,,51913.56807316692,NY,Masters,207.33835593288003
333,54.0,67284.90792010579,LA,Bachelors,144.3542060513924
334,29.0,65883.39959336471,NY,Masters,118.9920400139727
335,26.0,73305.7237418205,LA,Masters,111.30150670223253
336,25.0,66926.14312338836,SF,Masters,128.78892337283443
337,27.0,,NY,Masters,122.49546315002786
338,53.0,79627.23295362537,SF,Bachelors,188.21504208905202
339,51.0,53292.203505983,LA,Bachelors,162.57371751953914
340,56.0,81060.59702891237,LA,Bachelors,179.8935820520349
341,37.0,87116.99097296876,LA,Masters,145.67461484996014
342,34.0,94512.02490233303,SF,Masters,163.82135499186828
343,51.0,37849.49013793961,NY,Bachelors,179.13631577978236
344,40.0,67256.47514327173,NY,Bachelors,142.4369034944845
345,38.0,40523.49138469616,SF,Masters,180.4374275410309
346,40.0,33474.04465340765,,Bachelors,142.93226713535245
347,49.0,72161.39571411218,NY,PhD,190.31694678390915
348,47.0,64012.72310724457,LA,Bachelors,151.9865422348627
349,58.0,74497.7642765612,LA,PhD,192.55372915190628
350,47.0,77291.91535130974,LA,Bachelors,131.84969379722892
351,44.0,,NY,Bachelors,146.55379427150714
352,30.0,70808.8063795867,LA,Bachelors,97.077902968546
353,33.0,113850.33425978632,NY,Bachelors,120.1205838696489
354,22.0,74596.14782477819,LA,Bachelors,89.26878453695697
355,,97637.18566850817,SF,,119.15839048523765
356,55.0,35007.43299213627,LA,Masters,193.61781668441654
357,53.0,90246.09294325937,NY,Bachelors,178.2417810874101
358,46.0,67288.59265306659,NY,Masters,159.82034951550145
359,22.0,40774.79110859093,LA,,79.05711043134605
360,37.0,76308.17663842179,LA,PhD,164.924160319609
361,26.0,65455.66693023524,NY,Masters,112.35706166180593
362,43.0,78700.79872672213,LA,,125.97886457343031
363,50.0,85166.14686326617,NY,Bachelors,171.32981713057222
364,24.0,47662.74824857606,NY,Bachelors,99.42288356409797
365,33.0,85223.78473682737,NY,Bachelors,121.79976099140187
366,47.0,70097.19226331075,,Masters,184.40190704705591
367,37.0,90292.61762039909,,Masters,159.99978554131957
368,58.0,66922.77656503198,LA,PhD,228.48809096999432
369,43.0,62943.86661202868,SF,Masters,166.50363676441702
370,,,LA,PhD,195.11356823331423
371,35.0,71527.9105956978,NY,PhD,163.55120112940145
372,49.0,60058.227977623974,NY,PhD,201.28548743655844
373,26.0,62555.42903567074,,Bachelors,94.15840540357776
374,51.0,,NY,Bachelors,153.53914133493961
375,26.0,63480.32365314708,,Bachelors,95.13705158383787
376,33.0,80144.65089996369,LA,Masters,120.28066013625758
377,37.0,67939.68739140785,NY,Bachelors,142.5996637011692
378,,85135.97944070993,NY,Bachelors,143.8986655040424
379,47.0,67218.5579852039,NY,Bachelors,144.00673344694536
380,42.0,48527.230034150285,NY,Bachelors,140.77446444887747
381,57.0,78959.12331334874,LA,Masters,173.27761487320484
382,,59895.652884498966,NY,Bachelors,192.15585743635322
383,51.0,66499.49066854698,LA,Masters,171.33080588737897
384,58.0,88563.58071226176,,,185.5145361748502
385,44.0,52586.94310417729,SF,Bachelors,164.7831179804303
386,31.0,72471.15681196577,SF,Masters,152.23733163268605
387,26.0,69392.22474946312,LA,Masters,112.84527800082138
388,57.0,80513.88573155654,NY,Bachelors,183.03964050034162
389,55.0,,LA,Bachelors,158.9783627722479
390,52.0,73957.58506373338,LA,,167.26739659176155
391,31.0,64594.380301294004,,Masters,147.2508061139137
392,40.0,77100.58756038941,LA,Masters,143.88682595374266
393,53.0,90034.83845716843,SF,Bachelors,175.61353853517653
394,22.0,69590.65090540449,LA,Bachelors,87.59858371122311
395,26.0,65991.1582836546,NY,Bachelors,105.66614527135174
396,25.0,75822.55386501986,NY,,106.36937832886039
397,,70580.90530554418,LA,Bachelors,118.29634922014216
398,45.0,49934.35864123301,NY,Masters,185.38223202543196
399,37.0,73589.96200596222,LA,Bachelors,109.96804980914753
400,23.0,49798.56386854354,LA,,95.58573902049746
401,49.0,75617.20969612668,NY,Masters,169.03755464260743
402,53.0,58042.85913390149,SF,Masters,189.21871594343992
403,48.0,70553.12206279518,LA,Bachelors,146.3673609409166
404,,75858.90859298855,NY,,163.01817735833214
405,45.0,106808.55018915357,LA,Bachelors,157.85796731377744
406,33.0,81141.24942680387,LA,Bachelors,115.77886591635533
407,56.0,90471.98214613502,LA,Masters,179.77506107421004
408,54.0,98076.21728040886,SF,Masters,217.3222001501196
409,54.0,77338.83875499167,LA,Masters,160.40791834015795
410,58.0,74285.34700400798,,Bachelors,202.7061954082819
411,,53999.18336760676,LA,Masters,117.3923811444163
412,,68250.55101399409,LA,Masters,105.22079026592279
413,22.0,59153.684055462065,SF,PhD,145.99714663772576
414,54.0,63984.11724813421,LA,Masters,164.50560359276054
415,31.0,98059.95064288702,NY,Masters,135.83893620822568
416,,71719.32263799984,,,158.05354358465527
417,34.0,56861.50633425837,LA,Masters,144.89783707500393
418,33.0,90618.00182036957,NY,Masters,166.27621324503997
419,52.0,84329.13214356173,SF,PhD,200.84346722836693
420,23.0,85114.80238900596,NY,Bachelors,113.07612893388558
421,56.0,39908.04695346408,NY,Bachelors,179.21751953674092
422,44.0,99230.06436582228,SF,Bachelors,153.88349018331192
423,38.0,61622.27886859169,LA,Masters,144.15542285729535
424,47.0,81669.32159189133,NY,PhD,180.74385890681245
425,29.0,107856.99685925548,LA,Bachelors,92.38815353632994
426,,102329.99122285926,LA,,154.7416132665985
427,47.0,55336.568117909694,NY,Masters,178.17435282594872
428,31.0,48332.239944965906,SF,,145.70340784799177
429,47.0,91455.19898271892,LA,Bachelors,141.01437100870493
430,55.0,72130.83717391,LA,Masters,198.62125162387287
431,28.0,62486.7783804688,LA,Bachelors,93.86991423687074
432,25.0,,LA,Masters,121.50262706961917
433,,67556.80633810838,NY,Bachelors,121.92308102385975
434,50.0,,NY,Bachelors,159.45711125211628
435,57.0,71004.72711728099,LA,Masters,187.19037505220888
436,46.0,80835.8189249225,,Bachelors,153.696007368035
437,42.0,56582.00966295417,NY,,147.43061401696085
438,57.0,,LA,Masters,189.4601780015167
439,,80464.35056098658,,,148.99304863361047
440,58.0,79694.46054105359,,,209.97930235248953
441,30.0,53234.95109482009,,Bachelors,116.28555581232486
442,,95494.4862496637,NY,Bachelors,139.55656290221194
443,56.0,69794.25850950598,LA,Bachelors,180.11540366511073
444,56.0,80920.73293644762,NY,Bachelors,181.38346898525455
445,,,LA,PhD,189.1656792111183
446,39.0,73913.33597023146,LA,Bachelors,131.55268147845564
447,53.0,74456.91028179106,,Bachelors,167.32951615035452
448,,27701.03601994869,NY,Bachelors,148.02324503149467
449,,78736.72186982246,LA,Bachelors,139.17110030642172
450,53.0,99480.12192583128,LA,Masters,173.5265537630662
451,58.0,78096.70388487936,SF,Masters,215.28513495055145
452,33.0,,SF,Bachelors,134.12528890059494
453,34.0,79749.4234923083,LA,Bachelors,107.10768993678128
454,44.0,85892.20795260009,LA,,157.61539410598644
455,46.0,77686.9977428558,NY,Masters,164.44944921645467
456,56.0,68888.09340354934,NY,Masters,168.69033915799335
457,51.0,,NY,,163.44796810191428
458,38.0,66305.3536694979,LA,Bachelors,135.96158982714317
459,41.0,80466.65351516819,NY,Masters,156.65334577510734
460,46.0,48893.14007410558,NY,PhD,173.6079278221214
461,43.0,64421.9025871689,SF,PhD,182.79596166498817
462,34.0,93934.14734516422,NY,Bachelors,115.94750173606599
463,40.0,94512.92899865765,NY,Bachelors,136.0276547090867
464,57.0,47827.79368297507,NY,Bachelors,179.7960619827173
465,33.0,53028.79583104586,LA,Masters,132.55969792258136
466,40.0,65940.69130708095,LA,PhD,166.9220147018956
467,33.0,,NY,Bachelors,125.59959153098983
468,30.0,42587.884689205144,LA,Bachelors,122.49704664517799
469,28.0,69177.87047623783,LA,Bachelors,109.3754082221987
470,49.0,,SF,,180.74353914242522
471,35.0,89889.4701142785,SF,Bachelors,120.96395934359278
472,52.0,44846.372890461185,SF,Masters,187.27579894071204
473,40.0,71388.10923240434,LA,Bachelors,114.88528441154742
474,37.0,64095.858439771095,NY,Bachelors,125.3733062591347
475,26.0,92046.98389415932,NY,Masters,129.63054648264747
476,56.0,78964.78969529875,NY,Bachelors,177.2303060486357
477,,61212.76511113398,LA,Bachelors,123.6729265560446
478,46.0,82800.79664993624,SF,Bachelors,173.24338388662574
479,42.0,64167.56720037139,LA,PhD,171.07123042173518
480,57.0,84989.94566859631,NY,,209.860061920947
481,44.0,66443.84513671632,LA,Bachelors,154.30191390316682
482,37.0,85819.99868153145,SF,Masters,163.47667265151904
483,35.0,76541.22932690875,LA,Bachelors,120.86132030929764
484,52.0,118907.36621037134,,Masters,204.08998274116448
485,,69206.55991875993,SF,Masters,116.70239552302631
486,56.0,,SF,PhD,224.85400273821222
487,44.0,62808.628874261034,,,140.2724400578065
488,50.0,70040.28011132168,LA,PhD,187.1141680958872
489,32.0,29472.47298775839,NY,PhD,146.28394097219677
490,39.0,76983.76024811548,NY,PhD,183.55980262628438
491,33.0,90143.11319424117,LA,Masters,130.80630644320883
492,30.0,75949.45006899032,NY,Bachelors,118.64788532468371
